-6.93241706845 3.61548762387 0.5   True 64.0 0.0 419.985261617 56.0349255035 "2012-10-23 07:16:00"
-10.31029842   57.17 -3.94 False 57.0 -3.0 951.506106301  "2013-10-02 05:46:00"
-10.31029842   57.77 -5.5 False 57.5 -4.0 1522.26914655  "2013-10-02 05:46:00"
-10.31029842   58.27 -5.48 False 58.0 -4.0 1502.43009048  "2013-10-02 05:46:00"
-10.31029842   58.76 -5.43 False 58.5 -4.0 1449.79593475  "2013-10-02 05:46:00"
-15.6466579448 1.26040378538 1.0   True 55.5 -2.0 1283.87541507 57.480637961 "2013-10-02 05:48:00"
-15.6466579448 1.26040378538 1.0   True 55.5 -3.0 1283.87541507 57.480637961 "2013-10-02 05:48:00"
-15.6466579448   55.14 -3.49 False 55.0 -3.0 508.078104955  "2013-10-02 05:48:00"
-15.6466579448   55.26 -2.94 False 55.0 -2.0 976.944049856  "2013-10-02 05:48:00"
-15.6466579448   56.47 -5.66 False 56.0 -4.0 1725.51743804  "2013-10-02 05:48:00"
-15.6466579448   56.95 -5.62 False 56.5 -4.0 1679.11899525  "2013-10-02 05:48:00"
-15.6466579448   57.47 -5.66 False 57.0 -4.0 1729.01690761  "2013-10-02 05:48:00"
-15.6466579448   57.97 -5.67 False 57.5 -4.0 1739.18451964  "2013-10-02 05:48:00"
-15.6466579448   58.47 -5.67 False 58.0 -4.0 1736.13773  "2013-10-02 05:48:00"
-15.6466579448   58.79 -5.02 False 58.5 -4.0 1064.08247897  "2013-10-02 05:48:00"
-18.2743662214 0.967037756728 1.0   True 55.5 -2.0 1167.3589401 43.070415584 "2013-10-02 05:50:00"
-13.9272901989 3.2163856471 1.0   True 56.0 -2.0 1050.49919169 147.28281408 "2013-10-02 05:50:00"
-18.2743662214   55.58 -3.76 False 55.0 -2.0 1850.8442854  "2013-10-02 05:50:00"
-8.95103278096 1.06310799811 1.0   True 55.5 -2.0 1147.14242635 50.4702885871 "2013-10-02 05:52:00"
7.28384959907 1.90467060322 1.5   True 55.0 -2.0 744.177283548 22.1785777459 "2013-10-02 05:52:00"
-12.1329805871 1.17758911605 1.0   True 56.0 -2.0 988.206320234 63.2873505132 "2013-10-02 05:52:00"
-11.1533593577 0.733694415984 1.0   True 55.5 -3.0 1397.18703176 45.8255339794 "2013-10-02 05:54:00"
-11.1533593577 0.733694415984 1.0   True 55.5 -2.0 1397.18703176 45.8255339794 "2013-10-02 05:54:00"
-11.9275174606 0.624610053333 1.0   True 56.0 -3.0 1197.36491376 36.7255303767 "2013-10-02 05:54:00"
-11.9844710814 0.625667020821 1.0   True 56.0 -2.0 1189.31213723 35.8118676302 "2013-10-02 05:54:00"
-11.1533593577   55.21 -3.04 False 55.0 -2.0 1063.93079949  "2013-10-02 05:54:00"
-11.9844710814   56.68 -2.86 False 56.5 -2.0 883.523696422  "2013-10-02 05:54:00"
-11.1379754971 0.290927848904 1.0   True 55.5 -3.0 1485.4871602 20.190109697 "2013-10-02 05:56:00"
-11.2879678643 0.359177317402 1.0   True 55.5 -2.0 1465.70641093 24.1758385764 "2013-10-02 05:56:00"
-10.2322027688 0.329032504023 1.0   True 56.0 -2.0 1363.50067264 25.3976308976 "2013-10-02 05:56:00"
-10.2322027688 0.329032504023 1.0   True 56.0 -3.0 1363.50067264 25.3976308976 "2013-10-02 05:56:00"
-9.93772017734 0.353432705584 1.0   True 56.5 -2.0 1152.30674936 29.3611020541 "2013-10-02 05:56:00"
-11.2879678643   55.23 -3.15 False 55.0 -2.0 1171.90632603  "2013-10-02 05:56:00"
-9.49666045445 0.876540631467 1.0   True 55.5 -2.0 1453.31720971 52.3411805287 "2013-10-02 05:58:00"
-8.15451458579 0.35293808711 1.0   True 56.0 -3.0 1339.84522529 27.6555565808 "2013-10-02 05:58:00"
-8.2534311657 0.365516198607 1.0   True 56.0 -2.0 1324.78248847 27.4588789334 "2013-10-02 05:58:00"
-8.2534311657   56.73 -3.56 False 56.5 -2.0 1577.07490778  "2013-10-02 05:58:00"
-7.28467501822 0.396155664282 1.0   True 55.5 -2.0 1386.53293785 36.8015924613 "2013-10-02 06:00:00"
-2.70111987487 0.601106082398 1.0   True 56.0 -3.0 1250.43836443 55.6558611977 "2013-10-02 06:00:00"
1.39818963535 2.44326214278 0.5   True 56.0 -2.0 799.639873599 103.988042726 "2013-10-02 06:00:00"
-6.49616593168 0.841516993417 1.5   True 56.0 -3.0 773.068705673 26.0987309007 "2013-10-02 06:02:00"
-3.67390753697 4.53613220914 0.5   True 55.0 -2.0 949.690593542 119.928434527 "2013-10-02 06:12:00"
-3.67390753697   54.57 -3.05 False 54.5 -2.0 1057.12673958  "2013-10-02 06:12:00"
-3.67390753697   55.56 -2.99 False 55.5 -2.0 988.873642567  "2013-10-02 06:12:00"
-5.17736647969 0.781224780185 0.5   True 55.0 -2.0 1101.97718046 37.363996141 "2013-10-02 06:14:00"
-5.17736647969   55.59 -2.99 False 55.5 -2.0 994.883353528  "2013-10-02 06:14:00"
-8.09359656797 2.65277738934 0.5   True 55.0 -2.0 733.731636558 71.6209862783 "2013-10-02 06:18:00"
-8.09359656797   54.64 -2.99 False 54.5 -2.0 1004.12316372  "2013-10-02 06:18:00"
-7.17508286582 1.70354645192 0.5   True 55.0 -2.0 788.008201815 47.3613800292 "2013-10-02 06:20:00"
-7.17508286582   54.12 -2.94 False 54.0 -2.0 946.871002657  "2013-10-02 06:20:00"
-7.17508286582   54.63 -2.99 False 54.5 -2.0 1002.71092633  "2013-10-02 06:20:00"
-15.2574562499 2.1300051132 1.0   True 55.0 -2.0 833.222392968 50.5870876248 "2013-10-02 06:24:00"
-15.2574562499   53.77 -3.01 False 53.5 -2.0 1044.77190856  "2013-10-02 06:24:00"
-15.2574562499   54.33 -3.21 False 54.0 -2.0 1258.03052361  "2013-10-02 06:24:00"
-15.2574562499   54.86 -3.33 False 54.5 -2.0 1373.44501698  "2013-10-02 06:24:00"
-9.81238726255 2.24451150745 0.5   True 54.5 -2.0 1185.43334649 79.8229670139 "2013-10-02 06:26:00"
-9.81238726255   53.66 -2.94 False 53.5 -2.0 949.043361952  "2013-10-02 06:26:00"
-9.81238726255   54.19 -3.1 False 54.0 -2.0 1113.656943  "2013-10-02 06:26:00"
-9.81238726255   54.11 -1.66 False 54.0 -1.0 665.787946576  "2013-10-02 06:26:00"
-9.81238726255   55.2 -3.17 False 55.0 -2.0 1186.3337318  "2013-10-02 06:26:00"
-9.93644707646 1.05851853755 0.5   True 54.0 -2.0 1168.47599871 44.7878377319 "2013-10-02 06:36:00"
-9.93644707646   53.69 -2.1 False 53.5 -1.0 1119.09861243  "2013-10-02 06:36:00"
-9.93644707646   54.22 -2.23 False 54.0 -1.0 1249.6164812  "2013-10-02 06:36:00"
-10.9428262613 4.91409019354 1.5   True 54.0 -1.0 951.767213799 125.343061972 "2013-10-02 06:38:00"
-10.9428262613   53.63 -1.68 False 53.5 -1.0 697.102185856  "2013-10-02 06:38:00"
-4.34291560712 4.27352381213 1.5   True 56.5 1.0 278.103261507 25.0051380546 "2013-10-02 08:22:00"
-3.65478773068 2.4806404435 0.5   True 56.5 0.0 320.412976213 31.6178608908 "2013-10-02 08:22:00"
-6.43356334891 5.00397278588 0.5   True 56.0 0.0 506.46813822 99.319725617 "2013-10-02 08:22:00"
-4.34291560712   55.53 0.59 False 55.5 1.0 407.991639315  "2013-10-02 08:22:00"
