beam,range,geoAzm,magAzm,vLos,MLAT,MLT,MLON,GLAT,GLON,radId,radCode,normMLT_x,normMLTRound,spwdth,pwr
15,38,59.58,70.91,203.7755,56.6478,3.5636,-3.8343,45.339,-79.0401,205,fhe,3.5636,3,106.3743,13.5631
15,39,59.58,71.35,190.6922,56.7185,3.6172,-3.031,45.4539,-78.4873,205,fhe,3.6172,3,100.2617,15.7723
15,40,59.58,71.78,154.5406,56.7829,3.6709,-2.2254,45.566,-77.9321,205,fhe,3.6709,3,80.3733,15.9114
16,36,62.82,73.23,219.746,55.6816,3.4859,-5.0007,44.2586,-79.8052,205,fhe,3.4859,3,65.4646,10.6383
2,19,23.22,7.71,180.6842,58.7716,0.1962,-54.346,51.0381,-115.0809,207,cve,0.1962,0,159.8296,14.2009
2,20,23.22,7.74,129.5809,59.1826,0.2149,-54.065,51.4004,-114.7596,207,cve,0.2149,0,129.4715,23.937
2,21,23.22,7.79,76.5083,59.592,0.234,-53.7791,51.7611,-114.4358,207,cve,0.234,0,103.1968,24.7803
2,22,23.22,7.84,65.1503,59.9999,0.2534,-53.4877,52.1204,-114.1091,207,cve,0.2534,0,65.8656,22.2254
2,23,23.22,7.9,63.9213,60.4063,0.2732,-53.1905,52.4783,-113.7791,207,cve,0.2732,0,56.3883,19.6919
2,24,23.22,7.96,55.2912,60.8114,0.2935,-52.887,52.8349,-113.4457,207,cve,0.2935,0,45.807,19.4968
2,25,23.22,8.03,53.3869,61.2152,0.3141,-52.5769,53.1902,-113.1084,207,cve,0.3141,0,40.4833,21.7032
2,26,23.22,8.12,55.3231,61.6177,0.3353,-52.2598,53.5443,-112.7671,207,cve,0.3353,0,40.554,25.5485
2,27,23.22,8.21,58.1306,62.0189,0.3569,-51.9354,53.8973,-112.4216,207,cve,0.3569,0,46.4762,27.3445
3,19,26.46,11.3,218.8014,58.6744,0.2584,-53.4126,50.7985,-114.3733,207,cve,0.2584,0,175.7069,14.0457
3,20,26.46,11.36,195.1723,59.0783,0.2805,-53.0819,51.1477,-114.0189,207,cve,0.2805,0,169.7033,23.937
3,21,26.46,11.43,129.5809,59.4804,0.3029,-52.745,51.4951,-113.6616,207,cve,0.3029,0,112.641,24.9348
3,22,26.46,11.51,76.5083,59.8808,0.3258,-52.4014,51.8408,-113.3009,207,cve,0.3258,0,72.8878,22.8726
3,23,26.46,11.6,68.6473,60.2796,0.3492,-52.0508,52.185,-112.9367,207,cve,0.3492,0,60.3254,21.8119
3,24,26.46,11.7,65.1503,60.6769,0.3731,-51.6926,52.5277,-112.5685,207,cve,0.3731,0,55.5317,20.8627
3,25,26.46,11.81,59.4713,61.0726,0.3975,-51.3266,52.869,-112.1961,207,cve,0.3975,0,45.807,21.9335
3,26,26.46,11.93,58.8989,61.4668,0.4224,-50.9522,53.2089,-111.8194,207,cve,0.4224,0,43.6931,25.2188
3,27,26.46,12.06,59.4713,61.8596,0.448,-50.5692,53.5475,-111.4379,207,cve,0.448,0,44.2162,28.5798
4,19,29.7,14.89,305.6875,58.5422,0.3188,-52.5066,50.5301,-113.6975,207,cve,0.3188,0,182.5184,12.4572
4,20,29.7,14.98,280.0634,58.9373,0.344,-52.1282,50.8648,-113.3121,207,cve,0.344,0,184.1405,23.4726
4,21,29.7,15.08,180.6842,59.3304,0.3698,-51.7425,51.1976,-112.9235,207,cve,0.3698,0,179.2588,25.7794
4,22,29.7,15.19,98.4878,59.7216,0.396,-51.3492,51.5286,-112.5312,207,cve,0.396,0,80.8821,24.4658
4,23,29.7,15.31,79.1666,60.111,0.4227,-50.9478,51.8578,-112.135,207,cve,0.4227,0,65.8969,22.4623
4,24,29.7,15.44,72.2307,60.4985,0.4501,-50.5378,52.1854,-111.7347,207,cve,0.4501,0,62.0821,21.9795
4,25,29.7,15.59,65.2051,60.8843,0.478,-50.1188,52.5113,-111.3299,207,cve,0.478,0,60.9212,21.9795
4,26,29.7,15.74,59.4713,61.2684,0.5066,-49.6903,52.8356,-110.9204,207,cve,0.5066,0,52.8651,24.6942
4,27,29.7,15.91,59.1548,61.6507,0.5358,-49.2521,53.1584,-110.5061,207,cve,0.5358,0,52.8651,26.311
4,28,29.7,16.09,55.1277,62.0312,0.5657,-48.8036,53.4796,-110.0866,207,cve,0.5657,0,57.9167,26.0354
5,19,32.94,18.48,365.153,58.376,0.3771,-51.6328,50.2344,-113.0561,207,cve,0.3771,0,186.6311,13.5438
5,20,32.94,18.6,341.4498,58.7607,0.4053,-51.2092,50.5535,-112.6419,207,cve,0.4053,0,194.8128,21.705
5,21,32.94,18.73,213.8083,59.1432,0.4341,-50.7775,50.8705,-112.2242,207,cve,0.4341,0,184.1405,26.2151
5,22,32.94,18.87,160.2308,59.5235,0.4634,-50.3373,51.1855,-111.8028,207,cve,0.4634,0,130.0863,26.3238
5,23,32.94,19.02,99.727,59.9017,0.4934,-49.8881,51.4985,-111.3773,207,cve,0.4934,0,74.0868,24.4658
5,24,32.94,19.18,83.606,60.2779,0.524,-49.4295,51.8097,-110.9474,207,cve,0.524,0,69.021,23.0819
